    PID TTY          TIME CMD
   8992 ?        00:00:06 kworker/2:1-mm_percpu_wq
   9798 ?        00:00:00 cupsd
   9799 ?        00:00:00 dbus
   9800 ?        00:00:00 cups-browsed
  12223 ?        00:00:00 kworker/1:2-cgroup_destroy
  12658 ?        00:00:00 kworker/1:0-mm_percpu_wq
  12661 ?        00:00:00 kworker/u8:2-flush-8:0
  12786 ?        00:00:00 kworker/0:0-mm_percpu_wq
  12827 ?        00:00:00 kworker/u8:4-events_unbound
  12838 ?        00:00:00 kworker/3:0-events
  12839 ?        00:00:00 kworker/3:2
  12846 ?        00:00:00 kworker/0:3-events
  12851 ?        00:00:00 kworker/2:0-ata_sff
  12871 ?        00:00:00 xfconfd
  12876 ?        00:00:00 kworker/u8:0-events_unbound
  12880 ?        00:00:00 kworker/0:1-mm_percpu_wq
  12881 ?        00:00:00 kworker/2:2-ata_sff
  12887 pts/0    00:00:00 ps
